"","index","Job Title","Rating","Company Name","Location","Headquarters","Size","Founded","Type of ownership","Industry","Sector","Revenue","Competitors","Hourly","Employer provided","Lower Salary","Upper Salary","AvgSalary","company_txt","Job Location","Age","Python","spark","aws","excel","sql","sas","keras","pytorch","scikit","tensor","hadoop","tableau","bi","flink","mongo","google_an","seniority_by_title","Degree","COL","AdjustedSalary"
"11",10,"Data Scientist",3.5,"Wish
3.5","San Jose, CA","San Francisco, CA","501 - 1000",2011,"Company - Private","Other Retail Stores","Retail","$1 to $2 billion (USD)",NA,0,0,126,201,163.5,"Wish","CA",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",173.5,942.363112391931
"12",11,"Data Scientist",4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA","5001 - 10000",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)",NA,0,0,64,106,85,"ManTech","VA",53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"na","na",100.7,844.091360476663
"13",12,"Data Scientist",3.2,"Walmart
3.2","Plano, TX","Bentonville, AR","10000+",1962,"Company - Public","Department, Clothing, & Shoe Stores","Retail","$10+ billion (USD)","Target, Costco Wholesale, Amazon",0,0,106,172,139,"Walmart","TX",59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"na","M",91.5,1519.12568306011
"14",13,"Data Analyst",4.1,"Yesler
4.1","Seattle, WA","Seattle, WA","201 - 500",2012,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable",NA,0,0,46,85,65.5,"Yesler","WA",9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,"na","na",124.6,525.682182985554
"15",14,"Data Scientist",3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan","10000+",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer",0,0,83,144,113.5,"Takeda Pharmaceuticals","MA",240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"na","M",131.6,862.462006079027
"16",15,"Data Engineer",3.6,"Audible
3.6","Newark, NJ","Newark, NJ","1001 - 5000",1995,"Subsidiary or Business Segment","Motion Picture Production & Distribution","Media","Unknown / Non-Applicable",NA,0,0,102,190,146,"Audible","NJ",26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",125.1,1167.06634692246
"17",16,"Other Scientist",3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA","51 - 200",2011,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67,137,102,"Blueprint Medicines","MA",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","P",131.6,775.075987841945
"18",17,"Data Scientist",4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA","201 - 500",2011,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",NA,0,0,118,189,153.5,"h2o.ai","CA",10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"na","M",151.7,1011.86552406065
"19",18,"Data Scientist",4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA","51 - 200",2010,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",NA,0,0,110,175,142.5,"Nuna","CA",11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"na","na",178.6,797.872340425532
"20",19,"Data Scientist",4,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO","501 - 1000",1915,"Nonprofit Organization","Insurance Carriers","Insurance","$500 million to $1 billion (USD)",NA,0,0,64,111,87.5,"Pinnacol Assurance","CO",106,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,"na","M",112.1,780.553077609277
"21",20,"Data Scientist",3.2,"Porch
3.2","Seattle, WA","Seattle, WA","201 - 500",2012,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Angie's List, HomeAdvisor, Thumbtack",0,0,81,130,105.5,"Porch","WA",9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"na","M",124.6,846.709470304976
"22",21,"Data Scientist",3.9,"Health IQ
3.9","Dallas, TX","Mountain View, CA","201 - 500",2013,"Company - Private","Insurance Agencies & Brokerages","Insurance","Unknown / Non-Applicable",NA,0,0,73,119,96,"Health IQ","TX",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"sr","P",98.5,974.619289340102
"23",22,"Data Scientist",3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID","501 - 1000",1995,"Company - Private","Logistics & Supply Chain","Transportation & Logistics","Unknown / Non-Applicable",NA,0,0,86,139,112.5,"Truckstop.com","IL",26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"na","M",100.1,1123.87612387612
"24",23,"Data Scientist",4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA","51 - 200",1935,"Nonprofit Organization","Logistics & Supply Chain","Transportation & Logistics","$10 to $25 million (USD)",NA,0,0,63,105,84,"SMC 3","KY",86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"na","M",91.6,917.03056768559
"25",25,"Data Scientist",4,"Novetta
4.0","Herndon, VA","Mc Lean, VA","501 - 1000",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","Leidos, CACI International, Booz Allen Hamilton",0,0,109,177,143,"Novetta","VA",9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"na","na",100.7,1420.05958291956
"26",26,"Data Scientist",4,"Pfizer
4.0","Cambridge, MA","New York, NY","10000+",1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",NA,0,0,63,110,86.5,"Pfizer","MA",172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",131.6,657.294832826748
"27",27,"Data Scientist",3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA","1001 - 5000",1952,"Company - Private","Banks & Credit Unions","Finance","$100 to $500 million (USD)",NA,0,0,75,124,99.5,"First Tech Federal Credit Union","OR",69,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,"na","na",134.2,741.430700447094
"28",28,"Data Analyst",3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA","5001 - 10000",1852,"Company - Public","Insurance Carriers","Insurance","$5 to $10 billion (USD)",NA,0,0,34,61,47.5,"The Hanover Insurance Group","MA",169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",113.2,419.611307420495
"29",29,"Data Scientist",4,"Pfizer
4.0","Groton, CT","New York, NY","10000+",1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",NA,0,0,63,105,84,"Pfizer","CT",172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",127.7,657.791699295223
"30",30,"Data Scientist",4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL","501 - 1000",2010,"Company - Private","Security Services","Business Services","$100 to $500 million (USD)",NA,0,0,80,90,85,"KnowBe4","FL",11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"na","M",97.9,868.232890704801
"31",31,"Data Scientist",3.8,"PNNL
3.8","Richland, WA","Richland, WA","1001 - 5000",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,"PNNL","WA",56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",110.7,691.056910569106
"32",32,"Data Scientist",3.6,"Amrock
3.6","Detroit, MI","Detroit, MI","1001 - 5000",1997,"Company - Private","Real Estate","Real Estate","$500 million to $1 billion (USD)",NA,0,0,72,120,96,"Amrock","MI",24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"na","M",93.2,1030.04291845494
"33",33,"Data Scientist",3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland","10000+",1996,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",NA,0,0,86,143,114.5,"Novartis","MA",25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"na","na",131.6,870.060790273556
"34",34,"Data Scientist",3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA","5001 - 10000",1996,"Company - Public","Telecommunications Services","Telecommunications","$2 to $5 billion (USD)",NA,0,0,93,149,121,"Juniper Networks","CA",25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,"na","M",151.7,797.626895187871
"35",35,"Data Scientist",4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA","201 - 500",1974,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Thermo Fisher Scientific, Enzymatics, Illumina",0,0,85,140,112.5,"New England Biolabs","MA",47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",131.6,854.863221884499
"36",36,"Data Analyst",4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL","201 - 500",2008,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable",NA,0,0,77,135,106,"Clarity Insights","CA",13,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"na","na",173.5,610.951008645533
"37",37,"Data Scientist",3.5,"Esri
3.5","Redlands, CA","Redlands, CA","1001 - 5000",1969,"Company - Private","Computer Hardware & Software","Information Technology","$1 to $2 billion (USD)","Pitney Bowes",0,0,82,132,107,"Esri","CA",52,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"na","M",151.7,705.339485827291
"38",38,"Data Scientist",4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA","201 - 500",2010,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)",NA,0,0,83,137,110,"Systems & Technology Research","MA",11,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,"na","P",131.6,835.866261398176
"39",39,"Data Scientist",3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany","5001 - 10000",1870,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)",NA,0,0,115,180,147.5,"Sartorius","CA",151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"sr","M",151.7,972.313777191826
"40",40,"Data Engineer",3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY","201 - 500",1985,"Company - Private","Insurance Carriers","Insurance","$100 to $500 million (USD)",NA,0,0,74,138,106,"Lancer Insurance","NY",36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"na","M",139.1,762.041696621136
"41",41,"Data Analyst",4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA","201 - 500",2008,"Company - Private","IT Services","Information Technology","$50 to $100 million (USD)","BrowserStack, Selenium Master, Perfecto Mobile",0,0,64,112,88,"Sauce Labs","CA",13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,"na","na",178.6,492.721164613662
"42",43,"Data Engineer",3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA","1 - 50",NA,"Company - Private",NA,"Health Care","Less than $1 million (USD)",NA,0,0,68,129,98.5,"Persivia","MA",NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"na","na",131.6,748.480243161094
"43",44,"Data Scientist",4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA","51 - 200",2010,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",NA,0,0,110,175,142.5,"Nuna","CA",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",178.6,797.872340425532
"44",45,"Other Scientist",3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT","5001 - 10000",2015,"Company - Public","Consumer Products Manufacturing","Manufacturing","$2 to $5 billion (USD)","Unilever, Procter & Gamble, Henkel",0,0,52,113,82.5,"Edgewell Personal Care","NJ",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",125.1,659.47242206235
"45",46,"Data Scientist",4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL","1001 - 5000",1993,"Company - Public","Real Estate","Real Estate","$2 to $5 billion (USD)","UDR, AvalonBay Communities, Essex Property Trust",0,0,110,150,130,"Equity Residential","IL",28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,"sr","M",100.1,1298.7012987013
"46",48,"Data Scientist",5,"BPA Services
5.0","Washington, DC","Alexandria, VA","unknown",NA,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",NA,0,1,150,160,155,"BPA Services","DC",NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",120.1,1290.59117402165
"47",49,"Data Scientist",3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA","10000+",1958,"Company - Public","IT Services","Information Technology","$10+ billion (USD)","American Express, Mastercard, Discover",0,0,158,211,184.5,"Visa Inc.","WA",63,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,"sr","na",110.7,1666.66666666667
"48",50,"Data Analyst",3.1,"Intrado
3.1","Longmont, CO","Omaha, NE","5001 - 10000",1986,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$2 to $5 billion (USD)",NA,0,0,20,39,29.5,"Intrado","CO",35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",105.6,279.356060606061
"49",51,"Other Scientist",4.7,"Centauri
4.7","Beavercreek, OH","Chantilly, VA","501 - 1000",1999,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","TASC, Vencore, Booz Allen Hamilton",0,0,56,117,86.5,"Centauri","OH",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",90.8,952.643171806167
"50",52,"Data Scientist",3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL","10000+",1925,"Company - Public","Industrial Manufacturing","Manufacturing","$10+ billion (USD)","John Deere, Komatsu, CNH Industrial",0,0,63,99,81,"Caterpillar","IL",96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"na","na",86.7,934.256055363322
"51",54,"Data Scientist",3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL","Fort Lauderdale, FL","501 - 1000",1984,"Subsidiary or Business Segment","Advertising & Marketing","Business Services","Unknown / Non-Applicable",NA,0,0,68,114,91,"Zimmerman Advertising","FL",37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,"na","na",97.9,929.519918283963
"52",55,"Data Scientist",3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA","10000+",1912,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Travelers, Allstate, State Farm",0,0,86,143,114.5,"Liberty Mutual Insurance","MA",109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",132.6,863.499245852187
"53",56,"Data Scientist",4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL","1001 - 5000",2002,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)",NA,0,0,41,95,68,"Torch Technologies, Inc.","AL",19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"na","na",91.3,744.797371303395
"54",57,"Data Scientist",3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland","10000+",1863,"Company - Public","Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)","Munich Re, Hannover RE, SCOR",0,0,86,144,115,"Swiss Re","NY",158,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"na","M",139.1,826.743350107836
"55",58,"Data Scientist",3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA","10000+",1939,"Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)",NA,0,0,80,139,109.5,"Northrop Grumman","CA",82,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"na","na",136.2,803.964757709251
"56",59,"Data Scientist",3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany","5001 - 10000",1870,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)",NA,0,0,56,95,75.5,"Sartorius","NM",151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",92.9,812.70182992465
"57",60,"Data Scientist",4.1,"Netskope
4.1","San Francisco, CA","Santa Clara, CA","501 - 1000",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189,154.5,"Netskope","CA",9,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,"na","P",178.6,865.061590145577
"58",61,"Data Scientist",4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO","51 - 200",2016,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Slalom, Daugherty Business Solutions",0,0,111,176,143.5,"1904labs","MO",5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,"na","na",87.1,1647.53157290471
"59",62,"Data Scientist",4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD","501 - 1000",2008,"Company - Private","Banks & Credit Unions","Finance","Unknown / Non-Applicable",NA,0,0,54,93,73.5,"ClearOne Advantage","MD",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",107,686.915887850467
"60",63,"Data Scientist",3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX","201 - 500",2000,"Company - Public","Real Estate","Real Estate","$1 to $2 billion (USD)","Digital Realty, CoreSite, Equinix",0,0,71,119,95,"CyrusOne","TX",21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,"na","na",98.5,964.467005076142
"61",65,"Data Scientist",4.4,"The David J. Joseph Company
4.4","Cincinnati, OH","Cincinnati, OH","201 - 500",1885,"Subsidiary or Business Segment","Metals Brokers","Mining & Metals","Unknown / Non-Applicable",NA,0,0,82,132,107,"The David J. Joseph Company","OH",136,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,"sr","M",92.4,1158.00865800866
"62",66,"Data Scientist",4.3,"USEReady
4.3","New York, NY","New York, NY","201 - 500",2011,"Company - Private","Consulting","Business Services","$10 to $25 million (USD)",NA,0,0,84,146,115,"USEReady","NY",10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"na","na",128,898.4375
"63",67,"Data Scientist",3.8,"Bill.com
3.8","Palo Alto, CA","Palo Alto, CA","501 - 1000",2006,"Company - Public","Financial Transaction Processing","Finance","$50 to $100 million (USD)",NA,0,0,107,172,139.5,"Bill.com","CA",15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"sr","M",151.7,919.578114700066
"64",68,"Data Scientist",3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA","1001 - 5000",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49,85,67,"Pacific Northwest National Laboratory","WA",56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"na","M",110.7,605.239385727191
"65",70,"Data Scientist",3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA","Coraopolis, PA","10000+",1948,"Company - Public","Sporting Goods Stores","Retail","$5 to $10 billion (USD)","REI, Academy Sports + Outdoors, Cabela's",0,0,61,109,85,"DICK'S Sporting Goods - Corporate","PA",73,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,"na","M",101.7,835.791543756146
"66",72,"Data Scientist",2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA","51 - 200",2006,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)",NA,0,0,88,148,118,"Berg Health","MA",15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"na","P",131.6,896.656534954407
"67",73,"Data Scientist",4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA","51 - 200",2003,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)",NA,0,0,60,99,79.5,"Oversight Systems","GA",18,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,"na","na",100.3,792.622133599202
"68",75,"Data Scientist",3.1,"C Space
3.1","Boston, MA","Boston, MA","201 - 500",1999,"Company - Public","Advertising & Marketing","Business Services","$100 to $500 million (USD)","IDEO, Gongos, Inc., Ipsos",0,0,41,72,56.5,"C Space","MA",22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"na","na",132.6,426.093514328808
"69",76,"Data Scientist",3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA","1 - 50",1999,"Company - Private","Staffing & Outsourcing","Business Services","$5 to $10 million (USD)",NA,0,0,96,161,128.5,"Numeric, LLC","PA",22,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"na","na",103.4,1242.74661508704
"70",77,"Other Scientist",4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA","10000+",1939,"Company - Public","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable",NA,0,0,65,130,97.5,"HP Inc.","WA",82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",110.7,880.758807588076
"71",78,"Data Analyst",4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA","1 - 50",2015,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",NA,0,0,52,81,66.5,"SpringML","IN",6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"na","na",90.2,737.250554323725
"72",79,"Data Scientist",3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL","10000+",1927,"Company - Public","Wholesale","Business Services","$10+ billion (USD)",NA,0,0,139,220,179.5,"Grainger","IL",94,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"na","M",94.5,1899.4708994709
"73",80,"Other Scientist",2.7,"EAG Laboratories
2.7","Maryland Heights, MO","San Diego, CA","501 - 1000",1978,"Subsidiary or Business Segment","Research & Development","Business Services","$50 to $100 million (USD)",NA,0,0,50,102,76,"EAG Laboratories","MO",43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","P",87.1,872.56027554535
"74",81,"Data Scientist",3.9,"The Buffalo Group
3.9","Charlottesville, VA","Reston, VA","501 - 1000",2010,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","ManTech, Booz Allen Hamilton, Leidos",0,0,85,139,112,"The Buffalo Group","VA",11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"sr","M",102.1,1096.96376101861
"75",82,"Data Scientist",3.1,"Carmeuse
3.1","Pittsburgh, PA","Louvain-la-Neuve, Belgium","1001 - 5000",1860,"Company - Private","Mining","Mining & Metals","$1 to $2 billion (USD)","Lhoist, Graymont, Sibelco Group",0,0,74,122,98,"Carmeuse","PA",161,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"na","M",93.1,1052.63157894737
"76",83,"Data Scientist",4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA","10000+",1939,"Company - Public","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable",NA,0,0,99,157,128,"HP Inc.","WA",82,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,"sr","M",110.7,1156.27822944896
"77",84,"Data Scientist",4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA","201 - 500",2011,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",NA,0,0,79,222,150.5,"h2o.ai","CA",10,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,"na","P",151.7,992.089650626236
